case_name,clock_name,clock_port,clock_pin,sdc_target_kind,net_connection_count,load_count,candidate_count,selection_policy,match_reason
APU,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
BM64,Clk,Clk,,port,2,1,1,clock_name_match,exact_clock_name
Booth_Multiplier,Clk,Clk,,port,2,1,1,clock_name_match,exact_clock_name
CORDIC,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
FFT,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
PPU,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
Sync_FIFO,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
Top,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
XSTop,noc_clock,noc_clock,,port,18,17,6,clock_name_match,contains_clock
ad_top,AD_inst.clk,,AD_inst.cnt_0__reg_p/CK,pin,2,1,1,clock_name_match,internal_clock_sink_net_selected_from_cts_trace
aes_cipher_top,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
arbiter,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
ascon,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
asram16_axi4,clk_i,clk_i,,port,2,1,1,clock_name_match,contains_clk
blake2s,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
bp_fe_top,clk_i,clk_i,,port,2,1,1,clock_name_match,contains_clk
cia,E_CLK,E_CLK,,port,2,1,1,clock_name_match,contains_clk
cpu,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
dbg_bridge,clk_i,clk_i,,port,2,1,1,clock_name_match,contains_clk
dcpu16_cpu,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
gcd,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
gpio,clk_i,clk_i,,port,2,1,1,clock_name_match,contains_clk
i2c,wb_clk_i,wb_clk_i,,port,2,1,1,clock_name_match,contains_clk
ip0_digi_top,sys_clk_i,sys_clk_i,,port,2,1,1,clock_name_match,contains_clk
ip1_SimpleEdgeAiSoC,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ip2_TJUT_TOP,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
ip4_SynapticChip,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
ip5_riscv_npu_top,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
minirv,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
mos6502,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
mpw_asic_top,fanout_net_1,,u_TopForXip.sc32b.jtagBridge_1._zz_jtag_tap_isBypass[0]_reg_p/CK,pin,1,0,1,clock_name_match,internal_clock_sink_net_selected_from_cts_trace
picorv32a,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
prince,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
r8051,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
retrosoc_asic,net7538,,u_retrosoc.u_ip_natv_wrapper.u_nmi_i2s.u_rx_async_fifo.r_mem[90][4]_reg_p/CK,pin,1,0,1,fallback_largest_input,internal_clock_sink_net_selected_from_cts_trace
s1238,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s13207,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s1488,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s15850,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s38417,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s44,config_clk,config_clk,,port,2,1,1,clock_name_match,contains_clk
s5378,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s713,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
s9234,CK,CK,,port,2,1,1,clock_name_match,exact_clock_name
salsa20,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
serdes_top,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
serv_top,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
sha256,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
simpleuart,clk_i,clk_i,,port,2,1,1,clock_name_match,contains_clk
spi,raw_clk,raw_clk,,port,2,1,1,clock_name_match,contains_clk
spm,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
tcam,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
top,fixio_net_11,,capture.addr_0__reg_p/CK,pin,3,2,3,clock_name_match,internal_clock_sink_net_selected_from_cts_trace
trng,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
uart,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
usb,clk_48,clk_48,,port,2,1,1,clock_name_match,contains_clk
vm80_wb,wb_clk_i,wb_clk_i,,port,2,1,1,clock_name_match,contains_clk
ws2811,clk,clk,,port,2,1,1,clock_name_match,exact_clock_name
xtea,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyxSoCASIC,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_22050110,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_23060170,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_23060203,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_23060229,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_23060246,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24070003,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24080018,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24080032,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24090003,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24090010,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24090015,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24100012,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24110017,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_24120011,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25010003,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25010008,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25010009,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25010028,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25010030,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25020037,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25020039,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25020042,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25030085,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25030093,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25040111,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25040129,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25070194,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25070198,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25080201,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25080202,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_25080207,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
ysyx_core1,clock,clock,,port,2,1,1,clock_name_match,exact_clock_name
zipdiv,i_clk,i_clk,,port,2,1,1,clock_name_match,contains_clk
