case_name,clock_name,Latency (ps),Skew (ps),#Buffer,Buf-Area (um^2),Pow. (uW),Clk-Cap (fF),Clk-WL (um),Runtime (s),#Fanout Vio.,#Cap Vio.,#Slew Vio.,WNS (ps),TNS (ps),clock_port,status,error,power_source,clk_cap_source,violation_source,clock_pin_cap_fF,clock_wire_cap_fF,metric_notes
APU,clk,130.000,6.000,13,50.960,,138.518,231.260,6.384,0,0,0,9354.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,92.104,46.414,"missing iPA power json; liberty_input_pin_caps: load_pins=34, unknown_caps=0, clock_nets=14"
BM64,Clk,276.000,53.000,92,322.560,,1575.551,3801.685,53.690,0,0,0,6904.000,0.000,Clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,812.553,762.998,"missing iPA power json; liberty_input_pin_caps: load_pins=307, unknown_caps=0, clock_nets=93"
Booth_Multiplier,Clk,100.000,7.000,5,19.600,,82.043,144.676,3.911,0,0,0,9039.000,0.000,Clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,53.006,29.036,"missing iPA power json; liberty_input_pin_caps: load_pins=20, unknown_caps=0, clock_nets=6"
CORDIC,clock,217.000,38.000,71,305.200,,1191.236,2744.635,50.953,0,0,0,8724.000,0.000,clock,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,640.388,550.848,"missing iPA power json; liberty_input_pin_caps: load_pins=237, unknown_caps=0, clock_nets=72"
FFT,clock,248.000,48.000,179,625.520,,2500.730,4801.995,113.933,0,0,0,7964.000,0.000,clock,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1536.969,963.760,"missing iPA power json; liberty_input_pin_caps: load_pins=581, unknown_caps=0, clock_nets=180"
PPU,clk,276.000,51.000,227,706.160,,3654.753,9225.772,90.580,0,0,0,8557.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1803.141,1851.612,"missing iPA power json; liberty_input_pin_caps: load_pins=704, unknown_caps=0, clock_nets=228"
Sync_FIFO,clk,104.000,12.000,5,19.600,,94.618,176.258,3.936,0,0,0,9430.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,59.243,35.375,"missing iPA power json; liberty_input_pin_caps: load_pins=19, unknown_caps=0, clock_nets=6"
Top,clk,198.000,42.000,51,177.520,,786.457,1850.008,30.292,0,0,0,8843.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,415.160,371.297,"missing iPA power json; liberty_input_pin_caps: load_pins=162, unknown_caps=0, clock_nets=52"
XSTop,noc_clock,1018.000,870.000,174,544.320,,4415.186,16946.420,283.624,0,0,0,7778.000,0.000,noc_clock,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1014.039,3401.146,"missing iPA power json; liberty_input_pin_caps: load_pins=739, unknown_caps=0, clock_nets=175"
ad_top,AD_inst.clk,,,7,19.600,,62.790,141.969,3.257,0,0,0,,,AD_inst.cnt_0__reg_p/CK,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,34.297,28.493,"missing CTS Clock Timing Overview; missing clock latency; missing clock skew; missing iPA power json; liberty_input_pin_caps: load_pins=27, unknown_caps=0, clock_nets=8"
aes_cipher_top,clk,181.000,13.000,45,155.120,,593.124,1245.901,23.247,0,0,0,8833.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,343.072,250.052,"missing iPA power json; liberty_input_pin_caps: load_pins=134, unknown_caps=0, clock_nets=46"
arbiter,clk,58.000,3.000,1,2.800,,17.257,36.301,2.341,0,0,0,9435.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,9.972,7.286,"missing iPA power json; liberty_input_pin_caps: load_pins=4, unknown_caps=0, clock_nets=2"
ascon,clk,125.000,0.000,2,5.600,,14.655,31.001,2.124,0,0,0,9690.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,8.433,6.222,"missing iPA power json; liberty_input_pin_caps: load_pins=7, unknown_caps=0, clock_nets=3"
asram16_axi4,clk_i,160.000,11.000,21,87.920,,354.683,794.492,15.165,0,0,0,9123.000,0.000,clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,195.229,159.455,"missing iPA power json; liberty_input_pin_caps: load_pins=73, unknown_caps=0, clock_nets=22"
blake2s,clk,389.000,32.000,182,515.200,,2413.900,5992.980,83.652,0,0,0,6581.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1211.109,1202.791,"missing iPA power json; liberty_input_pin_caps: load_pins=495, unknown_caps=0, clock_nets=183"
bp_fe_top,clk_i,367.000,58.000,310,939.680,,5261.217,13023.548,246.918,0,0,0,8162.000,0.000,clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,2647.391,2613.826,"missing iPA power json; liberty_input_pin_caps: load_pins=1030, unknown_caps=0, clock_nets=311"
cia,E_CLK,148.000,6.000,21,87.920,,302.045,719.097,15.700,0,0,0,4686.000,0.000,E_CLK,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,157.723,144.323,"missing iPA power json; liberty_input_pin_caps: load_pins=58, unknown_caps=0, clock_nets=22"
cpu,clk,146.000,6.000,13,50.960,,189.962,462.740,8.051,0,0,0,8457.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,97.090,92.872,"missing iPA power json; liberty_input_pin_caps: load_pins=36, unknown_caps=0, clock_nets=14"
dbg_bridge,clk_i,178.000,3.000,22,91.840,,413.437,941.647,14.188,0,0,0,9058.000,0.000,clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,224.448,188.989,"missing iPA power json; liberty_input_pin_caps: load_pins=84, unknown_caps=0, clock_nets=23"
dcpu16_cpu,clk,175.000,32.000,34,124.320,,466.211,1134.255,13.983,0,0,0,8469.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,238.566,227.645,"missing iPA power json; liberty_input_pin_caps: load_pins=95, unknown_caps=0, clock_nets=35"
gcd,clk,88.000,2.000,3,8.400,,34.672,68.807,2.913,0,0,0,9227.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,20.863,13.810,"missing iPA power json; liberty_input_pin_caps: load_pins=9, unknown_caps=0, clock_nets=4"
gpio,clk_i,169.000,39.000,29,105.840,,388.656,827.112,14.614,0,0,0,9380.000,0.000,clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,222.654,166.001,"missing iPA power json; liberty_input_pin_caps: load_pins=89, unknown_caps=0, clock_nets=30"
i2c,wb_clk_i,146.000,5.000,13,50.960,,244.532,597.449,12.740,0,0,0,9169.000,0.000,wb_clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,124.624,119.908,"missing iPA power json; liberty_input_pin_caps: load_pins=47, unknown_caps=0, clock_nets=14"
ip0_digi_top,sys_clk_i,448.000,45.000,902,2578.240,,15903.503,37937.771,472.139,0,0,0,7629.000,0.000,sys_clk_i,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,8289.392,7614.111,"missing iPA power json; liberty_input_pin_caps: load_pins=3182, unknown_caps=0, clock_nets=903"
ip1_SimpleEdgeAiSoC,clock,636.000,231.000,364,1041.600,,5767.714,17424.804,702.657,0,0,0,4625.000,0.000,clock,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,2270.556,3497.158,"missing iPA power json; liberty_input_pin_caps: load_pins=922, unknown_caps=0, clock_nets=365"
ip2_TJUT_TOP,clk,189.000,43.000,29,110.320,,446.933,1125.052,13.889,0,0,0,7913.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,221.136,225.798,"missing iPA power json; liberty_input_pin_caps: load_pins=87, unknown_caps=0, clock_nets=30"
ip4_SynapticChip,clk,438.000,60.000,1258,3987.200,,21003.760,48808.743,339.281,0,0,0,7008.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,11207.846,9795.915,"missing iPA power json; liberty_input_pin_caps: load_pins=4198, unknown_caps=0, clock_nets=1259"
ip5_riscv_npu_top,clk,283.000,38.000,221,689.360,,3102.015,6757.075,87.607,0,0,0,9040.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1745.870,1356.145,"missing iPA power json; liberty_input_pin_caps: load_pins=688, unknown_caps=0, clock_nets=222"
minirv,clock,211.000,13.000,43,180.880,,797.832,2110.815,35.323,0,0,0,8334.000,0.000,clock,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,374.191,423.641,"missing iPA power json; liberty_input_pin_caps: load_pins=135, unknown_caps=0, clock_nets=44"
mos6502,clk,131.000,3.000,11,46.480,,180.923,430.036,7.037,0,0,0,8666.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,94.615,86.308,"missing iPA power json; liberty_input_pin_caps: load_pins=35, unknown_caps=0, clock_nets=12"
mpw_asic_top,fanout_net_1,,,7,19.600,,147.933,514.764,28.322,0,0,0,,,u_TopForXip.sc32b.jtagBridge_1._zz_jtag_tap_isBypass[0]_reg_p/CK,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,44.619,103.313,"missing CTS Clock Timing Overview; missing clock latency; missing clock skew; missing iPA power json; liberty_input_pin_caps: load_pins=39, unknown_caps=0, clock_nets=8"
picorv32a,clk,255.000,29.000,173,528.080,,2142.253,5216.755,122.122,0,0,0,7999.000,0.000,clk,passed,,missing_iPA_json,derived_from_liberty_and_cts_rc,report_top_n_parse,1095.250,1047.003,"missing iPA power json; liberty_input_pin_caps: load_pins=442, unknown_caps=0, clock_nets=174"
